descripcion	canntidad	valor	fecha							
AGUA PURA CON    	1	3500	13/04/2025							
FRUTI?O SURTID   	1	850	13/04/2025							
AGUA CRISTAL 6   	1	3800	13/04/2025							
COCA COLA ZERO   	1	1300	13/04/2025							
MAIZ ROCOL COO   	1	1700	13/04/2025							
BLANQ COORA GC   	1	3550	13/04/2025							
GUANTE PROTEXI   	1	5950	13/04/2025							
AJAX BICARBONA   	1	4900	13/04/2025							
AXION CREMA LI   	1	3850	13/04/2025			VENTA TOTAL DIA 13 DE ABRIL 			3451350	
VINAGRE COORA    	1	1950	13/04/2025							
ESPONJILLON TO   	1	1150	13/04/2025							
COLADOR No 17    	1	2100	13/04/2025							
PLATO HONDO 25   	1	4150	13/04/2025							
SPAGUETTI LA M   	1	3950	13/04/2025							
LECHE ALQUERIA   	1	6850	13/04/2025							
ALMENDRA NATUR   	1	6550	13/04/2025							
JENGIBRE EL RE   	1	2050	13/04/2025							
UVAS PASAS X 9   	1	2350	13/04/2025							
BOLSA PARA EMP   	1	300	13/04/2025							
BOLIQUESO X 34   	1	1700	13/04/2025							
HUEVO X 15 UND   	1	8400	13/04/2025							
ARROZ ROA KILO   	1	4600	13/04/2025							
LECHE ALQUERIA   	1	6850	13/04/2025							
TOSTADAS GUADA   	1	7100	13/04/2025							
MARGARINA CAMP   	1	6700	13/04/2025							
NUCITA UNIDAD    	1	700	13/04/2025							
NUCITA UNIDAD    	1	700	13/04/2025							
LECHE COORA EN   	1	3450	13/04/2025							
PAPAS MARG PAK   	1	3800	13/04/2025							
AGUA SAVILOE X   	1	3100	13/04/2025							
TANGELO BOLTEL   	1	4400	13/04/2025							
MAIZITOS NATUR   	1	6800	13/04/2025							
HUEVO EXTRA X    	1	16700	13/04/2025							
BOLSA PARA EMP   	1	300	13/04/2025							
DULCE ROLLON S   	1	3000	13/04/2025							
PAPA FOSFORITO   	1	7700	13/04/2025							
YOGURT FINESSE   	1	3200	13/04/2025							
T.COCINA DECOR   	1	11650	13/04/2025							
KUMIS ALPINA V   	1	3300	13/04/2025							
KUMIS ALPINA V   	1	3300	13/04/2025							
YOGURT FINESSE   	1	3200	13/04/2025							
CHOCORRAMO MIT   	1	7200	13/04/2025							
LONJA DE BOCAD   	1	2600	13/04/2025							
CHOCOLATE LA E   	1	9450	13/04/2025							
POPETAS FAMILI   	1	4200	13/04/2025							
PAPA MARGARITA   	1	7600	13/04/2025							
GELATINA GEL H   	1	5350	13/04/2025							
GALLETA NOEL T   	1	7200	13/04/2025							
